clip_id,filename,valence,arousal,split
ACCEDE00532,ACCEDE00532.mp4,3.3480423823,2.20624672981,train
ACCEDE00872,ACCEDE00872.mp4,1.70671084981,4.46048516202,train
ACCEDE01149,ACCEDE01149.mp4,2.7488349613,1.58124207301,train
ACCEDE02287,ACCEDE02287.mp4,3.29561601909,1.73197867283,train
ACCEDE04038,ACCEDE04038.mp4,3.03136753195,1.47275685691,train
ACCEDE01726,ACCEDE01726.mp4,3.13474688059,2.00644291915,train
ACCEDE04989,ACCEDE04989.mp4,3.45091538784,3.46193501526,train
ACCEDE04228,ACCEDE04228.mp4,2.79327257868,4.42514179899,train
ACCEDE06664,ACCEDE06664.mp4,3.36334970848,2.80878415834,train
ACCEDE07598,ACCEDE07598.mp4,3.27672359,1.86023065678,train
ACCEDE09210,ACCEDE09210.mp4,3.57925746574,1.34669519476,train
ACCEDE05399,ACCEDE05399.mp4,3.50418408432,2.45785593702,train
ACCEDE08653,ACCEDE08653.mp4,1.58676549405,4.27389196323,train
ACCEDE07173,ACCEDE07173.mp4,2.12074306886,2.15506217042,train
ACCEDE04401,ACCEDE04401.mp4,1.9650584951,1.82864409383,train
ACCEDE00251,ACCEDE00251.mp4,3.25298682428,1.3413766315,train
ACCEDE02168,ACCEDE02168.mp4,3.04109785901,1.33431001156,train
ACCEDE02664,ACCEDE02664.mp4,2.71450348106,2.10876279003,train
ACCEDE02291,ACCEDE02291.mp4,2.08141600282,1.39054305777,train
ACCEDE06475,ACCEDE06475.mp4,2.43441972065,1.4555917432,train
ACCEDE08243,ACCEDE08243.mp4,3.29650742363,1.6246075689,train
ACCEDE02910,ACCEDE02910.mp4,2.25035291424,3.45486748112,train
ACCEDE08470,ACCEDE08470.mp4,2.96136994969,1.6597669975,train
ACCEDE00518,ACCEDE00518.mp4,2.51232466774,2.58181143188,train
ACCEDE02534,ACCEDE02534.mp4,1.62207231496,4.37852794755,train
ACCEDE01608,ACCEDE01608.mp4,1.893497101,1.72280932925,train
ACCEDE00096,ACCEDE00096.mp4,2.32063445613,1.74079302863,train
ACCEDE00577,ACCEDE00577.mp4,1.78936614722,4.33765415155,train
ACCEDE04641,ACCEDE04641.mp4,2.40481260372,3.77410557371,train
ACCEDE09218,ACCEDE09218.mp4,3.11836950727,2.58920821406,train
ACCEDE04847,ACCEDE04847.mp4,3.53393928828,3.55951467565,train
ACCEDE08033,ACCEDE08033.mp4,2.94746161459,2.99253028503,train
ACCEDE07581,ACCEDE07581.mp4,1.46871648822,4.48313577257,train
ACCEDE00958,ACCEDE00958.mp4,3.01757763061,1.36123877308,train
ACCEDE07960,ACCEDE07960.mp4,1.47090521338,2.00500284933,train
ACCEDE06189,ACCEDE06189.mp4,2.78803426905,2.44716835144,train
ACCEDE04281,ACCEDE04281.mp4,1.43763537388,1.80040093187,train
ACCEDE09568,ACCEDE09568.mp4,2.41826523689,2.78441494568,train
ACCEDE03651,ACCEDE03651.mp4,3.36792155208,3.55177325381,train
ACCEDE00039,ACCEDE00039.mp4,3.43361902526,1.38508928308,train
ACCEDE00782,ACCEDE00782.mp4,3.4663532364,1.42073077137,train
ACCEDE02689,ACCEDE02689.mp4,3.28402187558,1.6634661501,train
ACCEDE00510,ACCEDE00510.mp4,3.17855157189,4.19733532,train
ACCEDE03424,ACCEDE03424.mp4,3.2854706741,1.73580976408,train
ACCEDE07425,ACCEDE07425.mp4,3.23072198069,1.37599879454,train
ACCEDE09501,ACCEDE09501.mp4,3.1585923498,2.6451657426,train
ACCEDE05635,ACCEDE05635.mp4,3.19803524609,2.50864085852,train
ACCEDE03826,ACCEDE03826.mp4,2.40090041079,1.39837370574,train
ACCEDE03768,ACCEDE03768.mp4,2.98701366859,1.37544874347,train
ACCEDE03772,ACCEDE03772.mp4,3.35197378991,2.54629753012,train
ACCEDE07544,ACCEDE07544.mp4,2.44452996541,1.45372681793,train
ACCEDE03994,ACCEDE03994.mp4,3.40038763343,1.78430694866,train
ACCEDE09519,ACCEDE09519.mp4,2.97072490906,1.36346879392,train
ACCEDE04170,ACCEDE04170.mp4,3.00167291875,1.42096524021,train
ACCEDE02867,ACCEDE02867.mp4,3.14049339837,3.85860301416,train
ACCEDE04844,ACCEDE04844.mp4,1.58240193088,4.30956303878,train
ACCEDE01107,ACCEDE01107.mp4,3.58498657128,2.07549261561,train
ACCEDE06649,ACCEDE06649.mp4,3.34448344851,1.34399091822,train
ACCEDE06173,ACCEDE06173.mp4,2.08907588298,1.91135164063,train
ACCEDE02673,ACCEDE02673.mp4,2.34456575839,1.35007376699,train
ACCEDE03963,ACCEDE03963.mp4,2.95931542251,2.23920446244,train
ACCEDE04573,ACCEDE04573.mp4,2.53976459563,3.72355437202,train
ACCEDE07773,ACCEDE07773.mp4,1.33747838567,4.37732187219,train
ACCEDE06398,ACCEDE06398.mp4,2.37148527813,2.58103406569,train
ACCEDE04984,ACCEDE04984.mp4,3.47709536327,1.54019827204,train
ACCEDE02638,ACCEDE02638.mp4,3.5606827355,1.37655097554,train
ACCEDE01578,ACCEDE01578.mp4,3.34288609121,3.66982134594,train
ACCEDE00713,ACCEDE00713.mp4,3.15961965135,1.33728152751,train
ACCEDE00970,ACCEDE00970.mp4,3.55173580912,1.53869827167,train
ACCEDE04767,ACCEDE04767.mp4,1.56493873949,1.97397691893,train
ACCEDE03319,ACCEDE03319.mp4,3.33044076834,1.33142428559,train
ACCEDE09738,ACCEDE09738.mp4,2.7510265494,3.45033018988,train
ACCEDE03870,ACCEDE03870.mp4,3.38433951553,4.39664747708,train
ACCEDE07198,ACCEDE07198.mp4,3.39500236237,2.42812900625,train
ACCEDE00637,ACCEDE00637.mp4,3.38386525627,1.47303901267,train
ACCEDE09480,ACCEDE09480.mp4,3.55144540553,1.32758069759,train
ACCEDE01318,ACCEDE01318.mp4,3.00224302845,3.14229654159,train
ACCEDE08039,ACCEDE08039.mp4,3.0911001371,2.83377773762,train
ACCEDE05838,ACCEDE05838.mp4,3.11735684569,1.67113016409,train
ACCEDE05488,ACCEDE05488.mp4,3.34893427598,1.70411654267,train
ACCEDE03535,ACCEDE03535.mp4,1.62337854914,2.06976517196,train
ACCEDE08140,ACCEDE08140.mp4,2.85849136614,2.59428147659,train
ACCEDE05515,ACCEDE05515.mp4,1.98702307037,2.54361588607,train
ACCEDE02147,ACCEDE02147.mp4,3.2407768824,4.25141044719,train
ACCEDE07718,ACCEDE07718.mp4,2.28969754814,2.73133891369,train
ACCEDE06352,ACCEDE06352.mp4,1.35058345716,3.78167920479,train
ACCEDE01794,ACCEDE01794.mp4,3.42134423945,2.54170220098,train
ACCEDE09632,ACCEDE09632.mp4,2.64833152426,1.36288649882,train
ACCEDE01496,ACCEDE01496.mp4,3.25084932626,2.00126559009,train
ACCEDE02119,ACCEDE02119.mp4,1.49016418143,3.35073804302,train
ACCEDE04441,ACCEDE04441.mp4,2.44765588753,1.41120901866,train
ACCEDE00487,ACCEDE00487.mp4,2.78091228707,2.81385091368,train
ACCEDE03050,ACCEDE03050.mp4,3.31691284118,2.29282549281,train
ACCEDE05805,ACCEDE05805.mp4,2.37473525101,2.40383340325,train
ACCEDE05550,ACCEDE05550.mp4,1.67335975554,2.11154128523,train
ACCEDE03206,ACCEDE03206.mp4,1.80134998036,3.05203671355,train
ACCEDE08186,ACCEDE08186.mp4,2.79013339538,1.46044051375,train
ACCEDE08866,ACCEDE08866.mp4,3.58999482426,1.81774559886,train
ACCEDE09175,ACCEDE09175.mp4,2.53385635856,2.85940615571,train
ACCEDE04301,ACCEDE04301.mp4,2.52990438332,4.02618445487,train
ACCEDE08370,ACCEDE08370.mp4,3.36884036966,2.00471501286,train
ACCEDE00263,ACCEDE00263.mp4,3.43168729727,2.37552755313,train
ACCEDE04215,ACCEDE04215.mp4,2.85921277793,1.7104460397,train
ACCEDE05198,ACCEDE05198.mp4,2.91664096684,1.32554664199,train
ACCEDE05663,ACCEDE05663.mp4,2.48608505829,1.82889311811,train
ACCEDE07054,ACCEDE07054.mp4,2.58363169665,1.41346614301,train
ACCEDE02701,ACCEDE02701.mp4,3.43545283415,1.68606362384,train
ACCEDE08728,ACCEDE08728.mp4,2.8770187079,4.21667423593,train
ACCEDE07267,ACCEDE07267.mp4,3.37914936063,1.32706330895,train
