movie_id,filename,t_start,t_end,valence,arousal,split
After_The_Rain,continuous-movies\After_The_Rain.mp4,0.0,8.0,-0.0007745040621530001,-0.15922674734612502,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,2.0,10.0,-0.000837004062153,-0.16660006969087499,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,4.0,12.0,-0.000837004062153,-0.17325824884925,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,6.0,14.0,-0.000837004062153,-0.183265929337125,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,8.0,16.0,-0.000837004062153,-0.193988291431875,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,10.0,18.0,-0.000837004062153,-0.20354968183775,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,12.0,20.0,-0.000837004062153,-0.2110546849335,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,14.0,22.0,-0.000837004062153,-0.212159917997,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,16.0,24.0,-0.000748881888124375,-0.20898416508875,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,18.0,26.0,0.000696460705487625,-0.20372436220025,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,20.0,28.0,0.004167119198150875,-0.1963805093315,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,22.0,30.0,0.009666029214014124,-0.1880443094105,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,24.0,32.0,0.01710506857904875,-0.1797081094895,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,26.0,34.0,0.0248880922928875,-0.1713719095685,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,28.0,36.0,0.0317079085306,-0.1630357096475,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,30.0,38.0,0.037549408614925,-0.15469950972649998,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,32.0,40.0,0.0424125925458625,-0.1463633098055,test
After_The_Rain,continuous-movies\After_The_Rain.mp4,34.0,42.0,0.046653851502725,-0.13911881281275,test
