Time	Mean	Std
0	-2.84239528476e-05	0.00121212
1	-0.000528423952848	0.00121212
2	-0.000528423952848	0.00121212
3	-0.000528423952848	0.00121212
4	-0.000528423952848	0.00121212
5	-0.000528423952848	0.00121212
6	-0.00207743470069	0.00278854954772
7	-0.00635609512775	0.0104199603024
8	-0.0115579738886	0.0199006305785
9	-0.0171458661584	0.0301070936516
10	-0.0222806945748	0.0394913810263
11	-0.0282463951014	0.0503966953364
12	-0.034212095628	0.0613033532162
13	-0.0401777961547	0.072210745873
14	-0.0461434966813	0.0831185840397
15	-0.0521091972079	0.0940267126686
16	-0.0580748977346	0.104935041178
17	-0.0638831278709	0.115930798408
18	-0.0691552709411	0.127236705684
19	-0.0729945911971	0.13946927492
20	-0.0766880661107	0.151937558333
21	-0.0803815410244	0.164522256993
22	-0.0840750159381	0.177198569094
23	-0.0877684908518	0.189948153874
24	-0.0914619657655	0.202757189417
25	-0.0951554406791	0.215615080617
26	-0.097375719057	0.225863366121
27	-0.0948413337859	0.227635258141
28	-0.0901148849413	0.225600341684
29	-0.084017549406	0.221942893328
30	-0.0728988169672	0.215843838395
31	-0.0609369352366	0.210009038274
32	-0.0489750535059	0.204497510339
33	-0.0370131717752	0.199336071265
34	-0.0250512900445	0.194552586398
35	-0.0130894083138	0.190175577915
36	-0.00111899401587	0.186238142218
37	0.0109071682163	0.182612182896
38	0.023309540276	0.177633588141
39	0.0350761735046	0.169955780576
40	0.0468374763803	0.162693055206
41	0.0598712988846	0.155809945626
42	0.0731356005509	0.1496079056
43	0.0863999022173	0.144249883243
44	0.100111300283	0.139439884865
45	0.115267090716	0.134626992448
46	0.132986484978	0.132207128525
47	0.149983427645	0.131963770735
48	0.166110548815	0.133134944388
49	0.181753684004	0.13456063898
50	0.192064473903	0.132975816874
51	0.199197389025	0.127249498824
52	0.203743511136	0.117897094905
53	0.207050632381	0.106971830449
54	0.210357753626	0.0963780325952
55	0.21366487487	0.0862379438469
56	0.216963463547	0.0767207949942
57	0.220109383517	0.0679230874299
58	0.222412671207	0.0615789214847
59	0.223918874913	0.0587947290965
60	0.225284563631	0.0587726444446
61	0.225377732719	0.0601327758075
62	0.225240422645	0.06336219079
63	0.225103112572	0.0683755143288
64	0.224295388393	0.074195900524
65	0.220994014999	0.0788926848416
66	0.212032763579	0.082150310664
67	0.199482248436	0.0832556768285
68	0.186939655936	0.0857902191035
69	0.174692975081	0.0899402193692
70	0.162315145937	0.0940527605971
71	0.150719852119	0.094037038238
72	0.141320887357	0.0904151458415
73	0.133160923463	0.0854638564296
74	0.125000959568	0.0810165077083
75	0.116771312964	0.0772549189199
76	0.106577040833	0.0767767973019
77	0.094367192231	0.0794107282355
78	0.0819529352416	0.0826482722829
79	0.0695386782522	0.0863363145032
80	0.0571244212628	0.0904197469075
81	0.0443432638581	0.0953229019985
82	0.0303334156194	0.102094529557
83	0.0163193010971	0.109088179885
84	0.00252850428088	0.116466144367
85	-0.0102130356873	0.124876455846
86	-0.0200922893971	0.132682750853
87	-0.0279393881341	0.140071130407
88	-0.0358578890482	0.147777028151
89	-0.0440723016075	0.155525848956
90	-0.051738892119	0.163537891601
91	-0.0578532924693	0.17166160748
92	-0.0635772288666	0.179940346989
93	-0.0693011652639	0.188360744437
94	-0.0748760702188	0.196736424651
95	-0.0768920245531	0.201073785508
96	-0.0745515306038	0.199047144271
97	-0.0702524545297	0.194121085586
98	-0.0658186346811	0.189063249956
99	-0.060676255523	0.183052854019
100	-0.0550692062694	0.17649222537
101	-0.0490952566006	0.169568775113
102	-0.0418926160978	0.161170333919
103	-0.0346857093113	0.153092552721
104	-0.0274788025249	0.145395829693
105	-0.0202718957384	0.138143871801
106	-0.0130649889519	0.131410333577
107	-0.00585808216549	0.125278835626
108	0.00134882462097	0.119841820627
109	0.00855573140742	0.11519766368
110	0.0157626381939	0.111445528819
111	0.0229695449803	0.108677847332
112	0.0301764517668	0.106971059349
113	0.0373833585532	0.106376242678
114	0.0444412338973	0.106877350243
115	0.0492834110391	0.104976837512
116	0.0521532017387	0.102115950315
117	0.0550194371667	0.0993555507137
118	0.0578856725947	0.0967047552527
119	0.0612235877291	0.0931520076575
120	0.0658962955475	0.087898891253
121	0.0707399484867	0.082464212347
122	0.075583601426	0.0770569418709
123	0.0804272543652	0.0716832825765
124	0.0852709073045	0.0663514012614
125	0.0901145602437	0.0610722411225
126	0.094958213183	0.0558607515172
127	0.0998018661222	0.0507377888992
128	0.104645519061	0.0457331129779
129	0.109489172001	0.0408901792719
130	0.11433282494	0.0362738285421
131	0.119176477879	0.031982327171
132	0.124020130818	0.0281645629011
133	0.128863783758	0.0250381847088
134	0.133707436697	0.0228882835001
135	0.137277519928	0.0209683759274
136	0.140428166844	0.0193263545952
