Time	Mean	Std
0	-0.13530111246	0.248899399192
1	-0.142814815693	0.261754275629
2	-0.148659568386	0.27246667266
3	-0.153605128358	0.281531008609
4	-0.157844179762	0.289300439423
5	-0.161518024313	0.296033946128
6	-0.164732638294	0.301925764495
7	-0.167569062396	0.30712442776
8	-0.170090328264	0.311745461773
9	-0.172346197724	0.315880071154
10	-0.174376480239	0.319601219596
11	-0.18502407264	0.339116371596
12	-0.195671665041	0.358631523596
13	-0.206318926772	0.378146069536
14	-0.212737573413	0.38991031258
15	-0.212951848018	0.39030304
16	-0.212951848018	0.39030304
17	-0.212951848018	0.39030304
18	-0.212951848018	0.39030304
19	-0.212951848018	0.39030304
20	-0.212951848018	0.39030304
21	-0.212951848018	0.39030304
22	-0.212951848018	0.39030304
23	-0.212951848018	0.39030304
24	-0.212951848018	0.39030304
25	-0.212951848018	0.39030304
26	-0.212951848018	0.39030304
27	-0.212951848018	0.39030304
28	-0.212951848018	0.39030304
29	-0.212951848018	0.39030304
30	-0.212951848018	0.39030304
31	-0.212951848018	0.39030304
32	-0.212951848018	0.39030304
33	-0.212951848018	0.39030304
34	-0.212951848018	0.39030304
35	-0.212951848018	0.39030304
36	-0.212951848018	0.39030304
37	-0.212951848018	0.39030304
38	-0.212951848018	0.39030304
39	-0.212951848018	0.39030304
40	-0.212951848018	0.39030304
41	-0.212951848018	0.39030304
42	-0.212951848018	0.39030304
43	-0.212951848018	0.39030304
44	-0.212842726634	0.39010303982
45	-0.20896859001	0.3830024332
46	-0.203347189509	0.3726994012
47	-0.197725789008	0.3623963692
48	-0.192104388507	0.3520933372
49	-0.186482988006	0.3417903052
50	-0.180861587505	0.3314872732
51	-0.175240187004	0.3211842412
52	-0.169618786503	0.3108812092
53	-0.163997386002	0.3005781772
54	-0.158375985501	0.2902751452
55	-0.152754585	0.2799721132
56	-0.147133184499	0.2696690812
57	-0.141511783998	0.2593660492
58	-0.135890383497	0.2490630172
59	-0.130268982996	0.2387599852
60	-0.124647582495	0.2284569532
61	-0.119026181994	0.2181539212
62	-0.113404781493	0.2078508892
63	-0.107783380992	0.1975478572
64	-0.102271101875	0.18744482538
65	-0.100523837999	0.1842424
66	-0.100523837999	0.1842424
67	-0.100523837999	0.1842424
68	-0.100523837999	0.1842424
69	-0.100523837999	0.1842424
70	-0.100523837999	0.1842424
71	-0.100523837999	0.1842424
72	-0.100523837999	0.1842424
73	-0.100523837999	0.1842424
74	-0.100523837999	0.1842424
75	-0.10056463862	0.184218937608
76	-0.102096899521	0.18337048098
77	-0.1058402911	0.18156947731
78	-0.111606604038	0.179570943772
79	-0.117766182355	0.178505338144
80	-0.123925760672	0.178563253691
81	-0.130085338989	0.179743604378
82	-0.136244917306	0.182024555993
83	-0.141674044708	0.184210149491
84	-0.144850644675	0.184132640423
85	-0.148459100371	0.185144655696
86	-0.153265244854	0.186720922295
87	-0.158954610101	0.189090131916
88	-0.164684317115	0.19282051731
89	-0.17041402413	0.197862191546
90	-0.176143731144	0.204118012021
91	-0.181873438159	0.211480258794
92	-0.187603145174	0.219837799134
93	-0.193332852188	0.229081725673
94	-0.199062559203	0.239109257843
95	-0.204751465596	0.249741143405
96	-0.20894891171	0.257819781425
97	-0.210107377221	0.26289430255
98	-0.210513529661	0.264580392336
99	-0.210648764916	0.265633123263
100	-0.21078400017	0.266868516464
101	-0.210919235425	0.268284048583
102	-0.210996954476	0.269952005935
103	-0.211071792018	0.272842250788
104	-0.212846387842	0.276948842082
105	-0.2140638037	0.281356056035
106	-0.213553134846	0.285883646568
107	-0.211720445437	0.290458350684
108	-0.209586184077	0.2951200177
109	-0.207451922717	0.299906447431
110	-0.205317661358	0.304811762523
111	-0.203183399998	0.309830316355
112	-0.201049138638	0.314956695897
113	-0.198914877279	0.320185722115
114	-0.196780615919	0.325512448303
115	-0.19464635456	0.330932156721
116	-0.1925120932	0.336440353856
117	-0.191205681764	0.339813932981
118	-0.188628662041	0.341999728432
119	-0.185929294125	0.34417407855
120	-0.183229926208	0.346374668749
121	-0.180530558292	0.348601002096
122	-0.177888706578	0.350740562252
123	-0.17598018729	0.351472362698
124	-0.174624437154	0.351143663319
125	-0.173394011254	0.35086031553
126	-0.17269398128	0.350705479588
127	-0.172432751098	0.350648884771
128	-0.172432751098	0.350648884771
129	-0.172432751098	0.350648884771
130	-0.172432751098	0.350648884771
131	-0.172432751098	0.350648884771
132	-0.172432751098	0.350648884771
133	-0.172432751098	0.350648884771
134	-0.172432751098	0.350648884771
135	-0.172432751098	0.350648884771
136	-0.172432751098	0.350648884771
137	-0.172432751098	0.350648884771
138	-0.172432751098	0.350648884771
139	-0.172432751098	0.350648884771
140	-0.172432751098	0.350648884771
141	-0.172432751098	0.350648884771
142	-0.172432751098	0.350648884771
143	-0.172432751098	0.350648884771
144	-0.172432751098	0.350648884771
145	-0.172432751098	0.350648884771
146	-0.172432751098	0.350648884771
147	-0.172432751098	0.350648884771
148	-0.172173505516	0.350593357307
149	-0.169610809171	0.350078681526
150	-0.166899311081	0.349602010219
151	-0.164187812992	0.349195423217
152	-0.161476314902	0.348859165566
153	-0.158764816813	0.348593440787
154	-0.156053318723	0.348398410266
155	-0.153341820634	0.34827419277
156	-0.150630322544	0.348220864079
157	-0.147918824455	0.34823845676
158	-0.145207326365	0.348326960067
159	-0.142495828276	0.348486319975
160	-0.140709846363	0.350469113665
161	-0.140525354874	0.355598594604
162	-0.140117381174	0.360425949747
163	-0.137527362914	0.362667311098
164	-0.133577269711	0.362829520081
165	-0.129887247745	0.36361630677
166	-0.126197225778	0.364522271806
167	-0.122066089464	0.365420651496
168	-0.116862257771	0.365965546376
169	-0.115183043324	0.366092974157
170	-0.113873849214	0.36623565607
171	-0.112564655104	0.366385400399
172	-0.111255460995	0.366542198488
173	-0.109946266885	0.366706041289
174	-0.108637072775	0.366876919363
175	-0.107327878665	0.367054822885
176	-0.106018684556	0.367239741646
177	-0.104709490446	0.367431665052
178	-0.103400296336	0.367630582134
179	-0.102091102226	0.367836481546
180	-0.0998563919393	0.366201818996
181	-0.0960201912291	0.361387271588
182	-0.0924074727301	0.357037505415
183	-0.0909767987906	0.355267794501
184	-0.0909061997941	0.355688251335
185	-0.0905755295615	0.355595159308
186	-0.0902448593289	0.355503076114
187	-0.0903553034441	0.355533719719
188	-0.0917976885197	0.35594424797
189	-0.0920189071127	0.356008905108
190	-0.0920189071127	0.356008905108
191	-0.0920189071127	0.356008905108
192	-0.0927805263112	0.354758676478
193	-0.0964266804205	0.348863575213
194	-0.100693255907	0.342162590614
195	-0.104959831394	0.33568638827
196	-0.10922640688	0.329448224569
197	-0.113492982367	0.323461871977
198	-0.117759557853	0.317741563416
199	-0.12202613334	0.312301918293
200	-0.126292708826	0.307157848288
201	-0.130051482329	0.302528814204
202	-0.132472182903	0.298850415008
203	-0.133032365316	0.296763728621
204	-0.131608114142	0.296691606447
